Product Name,Product Price,Warranty Period(Months),Processor Type,Screen Size(inch),Operating System,product type,Color,Storage Capacity,RAM(GB),Network and Communication,Touch Display,Display Resolution,Battery Type
Huawei MateBook 14,4299,24.0,Intel Core Ultra 5 125H,14.2,Windows 11 Home,Laptop,Space Grey,1 TB M.2 NVMe PCIe 4.0 SSD,16,Wi-Fi (6)/Bluetooth (5.1),Yes,2880 X 1920,Lithium Polymer (Li-Po)
Apple MacBook Air 15 M3,5999,24.0,M3 8-core CPU,15.3,macOS Sequoia,Laptop,Space Grey,256 GB SSD,16,Wi-Fi/Bluetooth,No,2880 X 1864,Lithium Polymer (Li-Po)
Apple MacBook Air 15 M3,5999,24.0,M3 8-core CPU,15.3,macOS Sonoma,Laptop,Starlight,256 GB SSD,8,Wi-Fi/Bluetooth,No,2880 X 1864,Lithium Polymer (Li-Po)
Asus,3799,24.0,AMD Ryzen 7-8840HS,14.0,Windows 11,Laptop,Jade Black,1 TB M.2 NVMe PCIe 4.0 SSD,16,Wi-Fi/Bluetooth,No,1920 X 1200 (WUXGA),Lithium Ion (Li-Ion) - 4 Cell
Microsoft Surface  7,9699,24.0,Snapdragon X Elite 12 Core,15.0,Windows 11 Home,Laptop,Black,1 TB SSD,32,Wi-Fi (7)/Bluetooth (5.4),Yes,2496 x 1664,Lithium Ion (Li-Ion) - 6 Cell
Asus Zenbook 14 OLED,4799,24.0,Intel Core Ultra 9 185H,14.0,Windows 11 Home,Laptop,Ponder Blue,1 TB M.2 NVMe PCIe 4.0 SSD,16,Wi-Fi (6E)/Bluetooth (5.3),No,2880 X 1800 (OLED),Lithium Ion (Li-Ion) - 4 Cell
Asus Zenbook 14 OLED,3599,24.0,AMD Ryzen 7-7730U,14.0,Windows 11,Laptop,Jade Black,1 TB M.2 NVMe PCIe 3.0 SSD,16,Wi-Fi/Bluetooth,No,2880 X 1800 (OLED),Lithium Ion (Li-Ion) - 4 Cell
Apple MacBook Air 13 M1 Retina,2999,24.0,M1 8-core CPU 16-core Neural Engine,13.3,macOS Big Sur,Laptop,Space Grey,256 GB SSD,8,Wi-Fi/Bluetooth,No,2560 X 1600 (WQXGA),Lithium Ion Polymer (Li-Poly)
HP Pavilion,4499,24.0,Intel Core Ultra 7 155U,16.0,Windows 11 Home,Laptop,Sky Blue,1 TB PCIe Gen4,16,Wi-Fi/Bluetooth,No,1920 X 1200,Lithium Ion (Li-Ion)
MSI Modern 14,2799,24.0,Intel Core i7-1355U (13th Gen),14.0,Windows 11,Laptop,Urban Silver,512 GB NVMe M.2 SSD,16,Wi-Fi/Bluetooth,No,1920 X 1080 (FHD),Lithium Ion (Li-Ion) - 3 Cell
HP Pavilion Plus 14-ew1009nx,3799,24.0,Intel Core Ultra 5 125H,14.0,Windows 11 Home,Laptop,Natural Silver,512 GB PCIe Gen 4 NVMe M.2 SSD,16,Wi-Fi (6E)/Bluetooth (5.3),No,2880 X 1800 (OLED),Lithium Ion Polymer (Li-Poly) - 4 Cell
HP EliteBook 840 G10,4019,60.0,Intel Core i7-1355U (13th Gen),14.0,Windows 11 Pro,Laptop,Ash Silver,512 GB PCIe NVMe M.2 SSD,16,Wi-Fi (6E)/Bluetooth (5.3),No,1920 X 1080 (FHD),Lithium Polymer (Li-Po) - 3 Cell
Huawei MateBook 14,3649,24.0,Intel Core i5-1240P (12th Gen),14.0,Windows 11,Laptop,Space Grey,512 GB,16,Wi-Fi/Bluetooth,Yes,2160 x 1440,Lithium Ion Polymer (Li-Poly)
Apple MacBook Pro 14 M4 Pro Retina XDR,11399,24.0,M4 Pro 14-core CPU,14.2,macOS Sequoia,Laptop,Silver,1 TB SSD,24,Wi-Fi/Bluetooth,No,3024 X 1964,Lithium Polymer (Li-Po)
Apple MacBook Air 13 M2 Retina,4499,24.0,M2 8-core CPU 16-core Neural Engine,13.6,macOS Sequoia,Laptop,Midnight,256 GB SSD,16,Wi-Fi/Bluetooth,No,2560 X 1664,Lithium Polymer (Li-Po)
Huawei MateBook 14,4999,24.0,Intel Core Ultra 7 155H,14.2,Windows 11 Home,Laptop,Space Grey,1 TB M.2 NVMe PCIe 4.0 SSD,16,Wi-Fi (6)/Bluetooth (5.1),Yes,2880 X 1920,Lithium Polymer (Li-Po)
Apple MacBook Air 13 M1 Retina,2999,24.0,M1 8-core CPU 16-core Neural Engine,13.3,macOS Big Sur,Laptop,Silver,256 GB SSD,8,Wi-Fi/Bluetooth,No,2560 X 1600 (WQXGA),Lithium Ion Polymer (Li-Poly)
Apple MacBook Air 13 M2 Retina,5699,24.0,M2 8-core CPU 16-core Neural Engine,13.6,macOS Monterey,Laptop,Starlight,512 GB SSD,8,Wi-Fi/Bluetooth,No,2560 X 1664,Lithium Ion Polymer (Li-Poly)
Microsoft Surface  7,6299,24.0,Snapdragon X Elite 12 Core,13.8,Windows 11 Home,Laptop,Sapphire,512 GB SSD,16,Wi-Fi (7)/Bluetooth (5.4),Yes,2304 X 1536,Lithium Ion (Li-Ion) - 6 Cell
MSI Prestige 13 AI Evo A1MG,4329,24.0,Intel Core Ultra 7 155H,13.3,Windows 11 Home,Laptop,Stellar Grey,1 TB M.2 NVMe PCIe 4.0 SSD,32,Wi-Fi (7)/Bluetooth,No,2880 X 1800 (OLED),Lithium Polymer (Li-Po) - 4 Cell
Apple MacBook Air 13 M2 Retina,4499,24.0,M2 8-core CPU 16-core Neural Engine,13.6,macOS Sequoia,Laptop,Starlight,256 GB SSD,16,Wi-Fi/Bluetooth,No,2560 X 1664,Lithium Polymer (Li-Po)
HP OmniBook X,5499,24.0,Snapdragon X Elite,14.0,Windows 11 (with Windows 11 Copilot),Laptop,Meteor Silver,1 TB M.2 NVMe PCIe 4.0 SSD,16,Wi-Fi (6E)/Bluetooth (5.3),Yes,2240 x 1400,Lithium Ion Polymer (Li-Poly) - 3 Cell
Asus Vivobook S 15 OLED,4999,24.0,Snapdragon X Elite,15.6,Windows 11 Home,Laptop,Cool Silver,1 TB M.2 NVMe PCIe 4.0 SSD,32,Wi-Fi (7)/Bluetooth (5.4),No,2880 X 1620 (WQHD),Lithium Ion (Li-Ion) - 3 Cell
Apple MacBook Air 13 M2 Retina,4499,24.0,M2 8-core CPU 16-core Neural Engine,13.6,macOS Monterey,Laptop,Midnight,256 GB SSD,8,Wi-Fi/Bluetooth,No,2560 X 1664,Lithium Ion Polymer (Li-Poly)
Lenovo Yoga Pro 9,9029,24.0,Intel Core Ultra 9 185H,16.0,Windows 11,Laptop,Luna Grey,1 TB SSD,32,Wi-Fi/Bluetooth,No,3200 X 2000,Lithium Polymer (Li-Po)
