Product Name,Product Type,Product Price,Color,Processor Type,RAM(GB),Storage Capacity,Screen Size(inch),Display Resolution,Touch Display,Network and Communication,Operating System,Battery Type,Warranty Period(Months)
Microsoft Surface Pro 9,2-in-1,6799,Graphite,Intel Core i7-1265U (12th Gen) Evo Platform,16,512GB SSD M.2,13.0,2880X1920 (267 PPI),True,WiFi 6E (802.11ax) and Bluetooth 5.1,Windows 11 Home,Up to 15.5 hours of typical device usage,24.0
Acer Travelmate TMP215-53-596G,Business,1899,Shale Black,Intel Core i5-1135G7 (11th Gen),8,512GB SSD M.2,15.6,1920x1080,False,Wi-Fi 6 + Bluetooth 5.0,Dos,Lithium Ion (Li-Ion),36.0
HP 15-fd0021nx,standard,1149,Natural Silver,Intel Core i3-1315U (13th Gen),4,256GB SSD M.2,15.6,1920x1080,False,Wi-Fi 6 + Bluetooth 5.3,Dos,"3-cell, 41 Wh Li-ion",24.0
MacBook Air M2 15.3 2023,standard,4499,Midnight,Apple M2 chip,8,256GB SSD,15.3,Liquid Retina 2880x1864,False,Wi-Fi 6 + Bluetooth 5.3,macOS Ventura,Up to 18 hours of typical device usage,24.0
Acer Aspire 3 A315-58-74GF,standard,1999,Pure Silver,Intel Core i7-1165G7 (11th Gen),8,512GB SSD M.2,15.6,1920x1080,False,Wi-Fi + Bluetooth,Dos,36Wh Li-ion battery,24.0
Asus ROG Zephyrus GU603VV-N4078W,Gaming,7199,Eclipse Gray,Intel Core i7-13620H (13th Gen),32,1TB SSD M.2,16.0,2560 x1600 QHD,False,WiFi 6E + Bluetooth 5.3,Windows 11 Home,"90WHrs, 4S1P, 4-cell Li-ion",24.0
HP Elite Dragonfly G3,Business,6999,Slate blue,Intel Core i7-1255U (12th Gen),16,512GB SSD M.2,13.5,"WUXGA+ 1920x1280, IPS",True,Wi-Fi 6E AX211 (2x2) and Bluetooth 5.3,Windows 11 Professional,"HP Long Life 6-cell, 68 Wh Li-ion polymer",36.0
Apple MacBook Pro M3,standard,7199,Silver,Apple M3 chip,8,512GB SSD,14.2,3024x1964,False,Wi-Fi 6E (802.11ax) + Bluetooth 5.3,macOS Sonoma,70-watt-hour lithium-polymer battery,24.0
ThinkPad E15 Gen 4,Business,7199,Black,Intel Core i7-1255U (12th Gen),8,512GB SSD,15.6,1920 x 1080 FHD IPS,False,Wi-Fi 6 + Bluetooth 5.1,Dos,Lithium 3 Cell,24.0
HP EliteBook 640 14 inch G9,Business,3299,Silver,Intel Core i7-1255U (12th Gen),8,512GB SSD M.2,14.0,1920 x 1080 FHD IPS,False,Wi-Fi 6E AX211 (2x2) and Bluetooth 5.3,Dos,"HP Long Life 3-cell, 51 Wh Li-ion",36.0
Acer Aspire Lite AL14-31P-34U9,standard,1299,Silver,Intel Core i3-N300,8,512GB SSD M.2,14.0,1920x1200,False,Wi-Fi + Bluetooth,Dos,Integrated 45Wh,24.0
Acer Aspire 3 A315-59-58XR,standard,1499,Pure Silver,Intel Core i5-1235U (12th Gen),8,512GB SSD M.2,15.6,1920x1080,False,Wi-Fi + Bluetooth,Dos,50Wh Li-ion battery,24.0
